Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
DÃ©nys Bain,28.0,FRA,0.0,0.0,0.0,0.0,4.5,2.0,2,180,Brest,Ligue 1,DF
Nedim Bajrami,23.0,ALB,2.24,0.26,0.22,0.31,5.26,1.23,35,2054,Empoli,Serie A,FW
CÃ©dric Bakambu,31.0,COD,4.75,1.0,0.0,1.25,3.25,0.5,12,356,Marseille,Ligue 1,FW
Abdoulaye Bakayoko,19.0,FRA,0.0,0.0,0.0,0.0,10.0,2.94,4,307,Saint-Ãtienne,Ligue 1,DF
TiemouÃ© Bakayoko,27.0,FRA,0.71,0.0,0.0,0.0,12.3,2.32,14,501,Milan,Serie A,MF
Mitchel Bakker,21.0,NED,0.45,0.0,0.2,0.0,7.87,1.24,25,1822,Leverkusen,Bundesliga,DF
Dilane Bakwa,19.0,FRA,4.0,0.0,0.0,0.0,16.0,0.0,5,43,Bordeaux,Ligue 1,FW
Tommaso Baldanzi,19.0,ITA,0.0,0.0,0.0,0.0,0.0,0.0,1,18,Empoli,Serie A,FW
Ibrahima BaldÃ©,19.0,FRA,0.0,0.0,0.0,1.67,3.33,0.0,4,58,Lens,Ligue 1,FW
Keita BaldÃ©,27.0,SEN,1.9,0.22,0.07,0.66,3.58,0.22,26,1229,Cagliari,Serie A,FW
Gareth Bale,32.0,WAL,4.84,0.32,0.0,0.32,3.23,0.32,5,280,Real Madrid,La Liga,FW
Mikel Balenziaga,34.0,ESP,0.27,0.0,0.0,0.04,8.93,1.6,26,2027,Athletic Club,La Liga,DF
Leonardo Balerdi,23.0,ARG,0.19,0.0,0.0,0.0,9.34,0.75,17,950,Marseille,Ligue 1,DF
IvÃ¡n Balliu,30.0,ALB,0.43,0.03,0.06,0.11,8.43,0.43,35,3147,Rayo Vallecano,La Liga,DF
FodÃ© Ballo-TourÃ©,25.0,SEN,0.6,0.0,0.0,0.2,10.2,2.4,10,446,Milan,Serie A,DF
Folarin Balogun,20.0,ENG,3.75,0.0,0.0,1.25,3.75,0.0,2,70,Arsenal,Premier League,FW
